primer	indel_id	orientation	AF16_chrom	AF16_start	AF16_end	AF16_mismatches	CGC2_chrom	CGC2_start	CGC2_end	CGC2_mismatches	total_locations_AF16	total_locations_CGC2
bhP11_F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	17
bhP11_R	bhP11	R	IV	13686206	13686184	0	IV	13283450	13283428	0	1	1
bhP16_F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	159	168
bhP16_R	bhP16	R	IV	15412483	15412461	0	IV	15034808	15034786	0	1	1
bhP31_F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2
bhP31_R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	34
bhP7_F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2
bhP7_R	bhP7	R	I	11234181	11234203	0	I	11162682	11162704	0	1	1
cb-m146_F	cb-m146	F	I	12695396	12695418	0	I	12809840	12809818	0	1	1
cb-m146_R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	92	91
cb-m171_F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3
cb-m171_R	cb-m171	R	IV	14490023	14490001	0	IV	14118119	14118097	0	1	1
cb-m179_F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1
cb-m179_R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1
cb-s125_F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2
cb-s125_R	cb-s125	R	II	14083151	14083129	0	II	13784824	13784802	0	1	1
cb-s249_F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	707	726
cb-s249_R	cb-s249	R	III	1015231	1015207	0	III	1034381	1034357	0	1	1
cb-s387_F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	11
cb-s387_R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	8
cb55670_F	cb55670	F	I	11670545	11670567	0	I	11594479	11594501	0	1	1
cb55670_R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4
vP21_F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	15
vP21_R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	13
vP22_F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	17
vP22_R	vP22	R	IV	3343512	3343489	0	IV	3283014	3283037	0	1	1
