Orthogroup	CGC2.softMasked.braker.longest.protein	N2.WBonly.WS283.PConly.prot	c_briggsae.PRJNA10731.WS280.protein_coding.longest.prot	c_briggsae.QX1410_20250929.csq.longest.protein
OG0000000	g10123.t1, g10135.t1, g10198.t1, g1023.t1, g10242.t2, g10664.t1, g10691.t1, g10782.t1, g10785.t1, g10847.t1, g10927.t2, g11360.t1, g1139.t2, g11780.t1, g11787.t1, g11798.t1, g1184.t1, g11949.t1, g11956.t1, g12004.t1, g12035.t1, g12040.t2, g12084.t1, g12349.t1, g125.t1, g12668.t1, g12728.t2, g12836.t1, g12909.t1, g13190.t1, g1321.t1, g13313.t1, g13407.t1, g13516.t2, g13537.t1, g13682.t1, g13814.t1, g14064.t1, g14079.t1, g14173.t1, g14366.t1, g14408.t1, g14418.t1, g14495.t2, g14499.t2, g14522.t1, g14542.t1, g14641.t1, g14644.t1, g14852.t1, g15136.t2, g15161.t1, g1518.t1, g15477.t2, g15494.t1, g15590.t1, g15591.t1, g15635.t1, g1568.t1, g15687.t1, g1591.t1, g15985.t1, g16045.t1, g16091.t1, g16176.t1, g16204.t1, g16220.t1, g16440.t1, g16495.t2, g16503.t1, g1653.t1, g16551.t1, g16612.t1, g1666.t1, g16707.t1, g16711.t1, g16869.t1, g17088.t1, g17199.t1, g1727.t1, g17303.t2, g17447.t1, g17452.t2, g17494.t1, g17507.t1, g17511.t1, g17671.t1, g17744.t1, g18154.t2, g18159.t1, g18243.t1, g18500.t1, g18531.t2, g18533.t1, g18569.t1, g18583.t1, g18594.t1, g18606.t1, g18636.t1, g18656.t1, g18786.t1, g18803.t1, g1898.t1, g19006.t1, g19031.t1, g1904.t1, g19203.t1, g19266.t1, g19309.t2, g19344.t1, g19486.t1, g19588.t1, g19616.t2, g19635.t1, g19854.t1, g20068.t2, g20083.t1, g20115.t2, g20256.t1, g20311.t1, g20314.t2, g20388.t1, g20393.t2, g20610.t2, g20617.t1, g20623.t1, g2063.t1, g20798.t1, g20953.t2, g20956.t2, g20958.t1, g21021.t1, g21031.t1, g21046.t2, g21068.t2, g21089.t2, g21090.t1, g21095.t1, g21121.t1, g2180.t1, g2252.t1, g2304.t1, g2503.t1, g2708.t1, g2829.t1, g2952.t1, g3193.t1, g3229.t1, g3321.t1, g3566.t1, g3619.t1, g374.t1, g3898.t1, g3900.t1, g3914.t1, g3918.t1, g3927.t1, g4031.t1, g4174.t1, g4183.t1, g4197.t2, g4261.t1, g4264.t1, g4372.t1, g4431.t1, g503.t2, g522.t1, g5395.t1, g5552.t1, g5572.t1, g5573.t1, g5603.t1, g5669.t1, g5674.t1, g5703.t1, g5726.t1, g5727.t1, g5754.t1, g5761.t1, g5870.t1, g5924.t1, g6025.t1, g6067.t1, g6096.t2, g6186.t1, g6192.t1, g6377.t1, g6572.t2, g6801.t1, g740.t1, g7586.t1, g7590.t1, g7678.t1, g7783.t1, g7786.t2, g7860.t1, g7986.t1, g8254.t1, g8423.t1, g8447.t1, g8448.t1, g8479.t1, g8530.t1, g8947.t1, g9100.t1, g9127.t1, g9148.t1, g922.t1, g9475.t1, g9580.t1, g9600.t1, g9611.t1, g9621.t1, g9635.t2, g9659.t1, g9724.t1, g9739.t1, g9743.t1, g9747.t1, g9792.t1, g9898.t1, g9940.t1	Transcript_C13D9.1.1	Transcript_CBG03532.1, Transcript_CBG08644.1	transcript_QX1410.22358.1, transcript_QX1410.22469.1, transcript_QX1410.22542.1, transcript_QX1410.22709.1, transcript_QX1410.22951.1, transcript_QX1410.22958.1, transcript_QX1410.23064.1, transcript_QX1410.23109.1, transcript_QX1410.23179.1, transcript_QX1410.23202.1, transcript_QX1410.23209.1, transcript_QX1410.23789.1, transcript_QX1410.23802.1, transcript_QX1410.23897.1, transcript_QX1410.24047.1, transcript_QX1410.24094.2, transcript_QX1410.24135.1, transcript_QX1410.24143.1, transcript_QX1410.24146.1, transcript_QX1410.24222.1, transcript_QX1410.24247.1, transcript_QX1410.24269.1, transcript_QX1410.24370.1, transcript_QX1410.24374.1, transcript_QX1410.24581.1, transcript_QX1410.24661.1, transcript_QX1410.24866.1, transcript_QX1410.24892.1, transcript_QX1410.25214.1, transcript_QX1410.25232.1, transcript_QX1410.25374.1, transcript_QX1410.25664.1, transcript_QX1410.25669.1, transcript_QX1410.25733.1, transcript_QX1410.25864.1, transcript_QX1410.25875.1, transcript_QX1410.25995.1, transcript_QX1410.26012.1, transcript_QX1410.26018.1, transcript_QX1410.26024.1, transcript_QX1410.26199.1, transcript_QX1410.26290.1, transcript_QX1410.26306.1, transcript_QX1410.26332.1, transcript_QX1410.26333.1, transcript_QX1410.26373.1, transcript_QX1410.26384.1, transcript_QX1410.26397.1, transcript_QX1410.26520.1, transcript_QX1410.26618.1, transcript_QX1410.26954.1, transcript_QX1410.26995.1, transcript_QX1410.27013.1, transcript_QX1410.27141.1, transcript_QX1410.27329.1, transcript_QX1410.27330.1, transcript_QX1410.27519.1, transcript_QX1410.27652.1, transcript_QX1410.27671.1, transcript_QX1410.27877.1, transcript_QX1410.28055.1, transcript_QX1410.28163.1, transcript_QX1410.28286.1, transcript_QX1410.28330.1, transcript_QX1410.28475.1, transcript_QX1410.28725.1, transcript_QX1410.28748.1, transcript_QX1410.28813.1, transcript_QX1410.28826.1, transcript_QX1410.29065.1, transcript_QX1410.29071.2, transcript_QX1410.29235.1, transcript_QX1410.29358.1, transcript_QX1410.29430.1, transcript_QX1410.29705.1, transcript_QX1410.29904.1, transcript_QX1410.29932.1, transcript_QX1410.30029.1, transcript_QX1410.30405.1, transcript_QX1410.30444.1, transcript_QX1410.30454.1, transcript_QX1410.30509.1, transcript_QX1410.30825.1, transcript_QX1410.30875.1, transcript_QX1410.31041.1, transcript_QX1410.31164.1, transcript_QX1410.31166.1, transcript_QX1410.31181.1, transcript_QX1410.31287.1, transcript_QX1410.31294.1, transcript_QX1410.31730.1, transcript_QX1410.32868.1, transcript_QX1410.32888.1, transcript_QX1410.32891.1, transcript_QX1410.32990.1, transcript_QX1410.33053.1, transcript_QX1410.33060.1, transcript_QX1410.33061.1, transcript_QX1410.33065.1, transcript_QX1410.33221.1, transcript_QX1410.33270.1, transcript_QX1410.33275.1, transcript_QX1410.33300.1, transcript_QX1410.33448.1, transcript_QX1410.33469.1, transcript_QX1410.33554.1, transcript_QX1410.33762.1, transcript_QX1410.33913.1, transcript_QX1410.33965.1, transcript_QX1410.35050.1, transcript_QX1410.35053.1, transcript_QX1410.35143.1, transcript_QX1410.35250.1, transcript_QX1410.35254.1, transcript_QX1410.35453.1, transcript_QX1410.35722.1, transcript_QX1410.35899.1, transcript_QX1410.35923.1, transcript_QX1410.35924.1, transcript_QX1410.35956.1, transcript_QX1410.36012.1, transcript_QX1410.36407.1, transcript_QX1410.36442.1, transcript_QX1410.36567.1, transcript_QX1410.36607.1, transcript_QX1410.36767.1, transcript_QX1410.36788.1, transcript_QX1410.36868.1, transcript_QX1410.37053.1, transcript_QX1410.37084.1, transcript_QX1410.37277.1, transcript_QX1410.37359.1, transcript_QX1410.37461.1, transcript_QX1410.37675.1, transcript_QX1410.37683.1, transcript_QX1410.37851.1, transcript_QX1410.37873.1, transcript_QX1410.37979.1, transcript_QX1410.37996.1, transcript_QX1410.38024.1, transcript_QX1410.38191.1, transcript_QX1410.38231.1, transcript_QX1410.38284.1, transcript_QX1410.38304.1, transcript_QX1410.38316.1, transcript_QX1410.38331.1, transcript_QX1410.38381.1, transcript_QX1410.38516.1, transcript_QX1410.38532.1, transcript_QX1410.38746.1, transcript_QX1410.38941.1, transcript_QX1410.39002.1, transcript_QX1410.39048.1, transcript_QX1410.39157.1, transcript_QX1410.39222.1, transcript_QX1410.39273.1, transcript_QX1410.39289.1, transcript_QX1410.39327.1, transcript_QX1410.39359.1, transcript_QX1410.39384.1, transcript_QX1410.39491.1, transcript_QX1410.39544.1, transcript_QX1410.39602.1, transcript_QX1410.39604.1, transcript_QX1410.39811.1, transcript_QX1410.39832.1, transcript_QX1410.39850.1, transcript_QX1410.39883.2, transcript_QX1410.39941.2, transcript_QX1410.39949.1, transcript_QX1410.40091.1, transcript_QX1410.40386.1, transcript_QX1410.40398.1, transcript_QX1410.40407.1, transcript_QX1410.40413.1, transcript_QX1410.40541.1, transcript_QX1410.40593.1, transcript_QX1410.40673.1, transcript_QX1410.40722.1, transcript_QX1410.40794.1, transcript_QX1410.40797.1, transcript_QX1410.40801.1, transcript_QX1410.40860.1, transcript_QX1410.40878.1, transcript_QX1410.40889.1, transcript_QX1410.40906.1, transcript_QX1410.40932.1, transcript_QX1410.40959.1, transcript_QX1410.40960.1, transcript_QX1410.40967.1, transcript_QX1410.40994.1, transcript_QX1410.41299.1, transcript_QX1410.41316.1, transcript_QX1410.41326.1, transcript_QX1410.41348.1, transcript_QX1410.41374.1, transcript_QX1410.41439.1, transcript_QX1410.41457.1, transcript_QX1410.41460.1, transcript_QX1410.41462.1, transcript_QX1410.41505.1, transcript_QX1410.41515.1, transcript_QX1410.41563.1, transcript_QX1410.41564.1, transcript_QX1410.41644.1, transcript_QX1410.41659.1, transcript_QX1410.41692.1, transcript_QX1410.41695.1, transcript_QX1410.41703.1, transcript_QX1410.41793.1, transcript_QX1410.41813.1, transcript_QX1410.41828.1, transcript_QX1410.41886.1, transcript_QX1410.41947.1, transcript_QX1410.41970.1, transcript_QX1410.41987.1, transcript_QX1410.42230.1, transcript_QX1410.42568.1, transcript_QX1410.42574.1, transcript_QX1410.42722.1, transcript_QX1410.42774.1, transcript_QX1410.43175.1, transcript_QX1410.43553.1, transcript_QX1410.43607.1, transcript_QX1410.43614.1, transcript_QX1410.43626.1, transcript_QX1410.43635.1, transcript_QX1410.43787.1, transcript_QX1410.43795.1, transcript_QX1410.43848.1, transcript_QX1410.43888.1, transcript_QX1410.44299.1
OG0000001	g10317.t1, g10396.t1, g10427.t2, g10429.t1, g10480.t1, g11939.t1, g13375.t1, g13452.t1, g14766.t1, g16663.t1, g16848.t1, g18520.t1, g18616.t1, g18715.t1, g19049.t1, g19070.t1, g19432.t1, g19469.t1, g19576.t1, g19643.t1, g19669.t1, g19844.t1, g19850.t1, g19852.t1, g19887.t1, g19913.t1, g20076.t1, g20743.t2, g20745.t1, g20809.t1, g2176.t1, g2468.t1, g3740.t1, g4151.t1, g4175.t1, g4563.t1, g5889.t1, g6428.t1, g706.t1, g7204.t1, g723.t1, g7459.t1, g7461.t1, g7949.t1, g8413.t1, g879.t1, g9305.t1, g9673.t1			transcript_QX1410.23023.2, transcript_QX1410.24498.1, transcript_QX1410.25641.1, transcript_QX1410.25992.1, transcript_QX1410.26134.1, transcript_QX1410.26360.1, transcript_QX1410.26471.1, transcript_QX1410.26526.1, transcript_QX1410.26664.1, transcript_QX1410.27858.1, transcript_QX1410.28013.1, transcript_QX1410.29353.1, transcript_QX1410.29667.1, transcript_QX1410.31416.1, transcript_QX1410.31440.1, transcript_QX1410.31470.1, transcript_QX1410.31525.1, transcript_QX1410.31839.1, transcript_QX1410.32952.1, transcript_QX1410.33240.1, transcript_QX1410.33811.1, transcript_QX1410.34647.1, transcript_QX1410.34914.1, transcript_QX1410.34916.1, transcript_QX1410.35417.1, transcript_QX1410.35889.1, transcript_QX1410.38217.1, transcript_QX1410.38229.1, transcript_QX1410.38338.1, transcript_QX1410.38360.1, transcript_QX1410.38439.1, transcript_QX1410.38694.1, transcript_QX1410.38787.1, transcript_QX1410.38808.1, transcript_QX1410.39080.1, transcript_QX1410.39166.1, transcript_QX1410.39204.1, transcript_QX1410.39370.1, transcript_QX1410.39392.1, transcript_QX1410.39394.1, transcript_QX1410.39419.1, transcript_QX1410.39595.1, transcript_QX1410.39600.1, transcript_QX1410.39639.1, transcript_QX1410.39668.1, transcript_QX1410.39843.1, transcript_QX1410.39954.1, transcript_QX1410.39976.1, transcript_QX1410.39994.1, transcript_QX1410.41387.1, transcript_QX1410.41601.1, transcript_QX1410.41763.1, transcript_QX1410.41778.1, transcript_QX1410.42189.1, transcript_QX1410.43475.1, transcript_QX1410.43776.1
OG0000002	g13086.t1	Transcript_B0294.3.1, Transcript_C17B7.11.1, Transcript_C25D7.4b.1, Transcript_C39B5.3.1, Transcript_C39B5.4.1, Transcript_C39B5.7.1, Transcript_C39B5.9.1, Transcript_F07G6.6.1, Transcript_F07G6.7.1, Transcript_F09C6.15.1, Transcript_F09C6.2.1, Transcript_F09C6.6.1, Transcript_F10A3.3.1, Transcript_F31F4.15a.1, Transcript_F31F4.15b.1, Transcript_F42G2.8.1, Transcript_F52D2.1.1, Transcript_F54B8.3.1, Transcript_F54B8.3.2, Transcript_F54D10.2.1, Transcript_R155.2.1, Transcript_R155.3.1, Transcript_R155.5.1, Transcript_T06E6.15.1, Transcript_T08E11.7.1, Transcript_T12B5.1.1, Transcript_T12B5.10.1, Transcript_T12B5.11.1, Transcript_T12B5.2.1, Transcript_T12B5.3.1, Transcript_T12B5.3.2, Transcript_T12B5.4.1, Transcript_T12B5.5.1, Transcript_T12B5.6b.1, Transcript_T12B5.6c.1, Transcript_T12B5.7.1, Transcript_T12B5.8.1, Transcript_T12B5.8.2, Transcript_T13F3.5.1, Transcript_T20H9.1.1, Transcript_T20H9.2.1, Transcript_T20H9.3.1, Transcript_T20H9.4.1, Transcript_T24C2.4.1, Transcript_T25E12.12.1, Transcript_T28A11.21.1, Transcript_Y119D3A.1.1, Transcript_Y119D3A.2.1, Transcript_Y119D3A.3.1, Transcript_Y119D3A.4.1, Transcript_Y119D3B.19.1, Transcript_Y119D3B.22.1, Transcript_Y119D3B.4.1, Transcript_Y119D3B.6.1, Transcript_Y119D3B.7.1, Transcript_Y119D3B.8.1, Transcript_Y119D3B.8.2, Transcript_Y22D7AR.11.1, Transcript_Y22D7AR.11.2, Transcript_Y22D7AR.2.1, Transcript_Y22D7AR.7.1, Transcript_Y22D7AR.9.1, Transcript_Y54F10BL.1.1, Transcript_Y54F10BM.10.1, Transcript_Y54F10BM.11.1, Transcript_Y54F10BM.11.2, Transcript_Y54F10BM.15.1, Transcript_Y54F10BM.20.1, Transcript_Y54F10BM.4.1, Transcript_Y54F10BM.4.2, Transcript_Y54F10BM.5.1, Transcript_Y54F10BM.7.1, Transcript_Y55B1AR.4.1, Transcript_Y59E1A.1.1, Transcript_Y67A10A.5.1, Transcript_Y82E9BL.10.1, Transcript_Y82E9BL.11.1, Transcript_Y82E9BL.13.1, Transcript_Y82E9BL.14.1, Transcript_Y82E9BL.15.1, Transcript_Y82E9BL.17.1, Transcript_Y82E9BL.18.1, Transcript_Y82E9BL.18.2, Transcript_Y82E9BL.19.1, Transcript_Y82E9BL.4.1, Transcript_Y82E9BL.7.1, Transcript_Y82E9BL.8.1, Transcript_Y82E9BR.12.1, Transcript_Y82E9BR.12.2, Transcript_ZC47.13a.1, Transcript_ZC47.14.1, Transcript_ZC47.3.1, Transcript_ZC47.3.2, Transcript_ZC47.4.1, Transcript_ZC47.5.1, Transcript_ZC47.6.1, Transcript_ZC47.7.1, Transcript_cTel54X.1.1, Transcript_cTel54X.2.1	Transcript_CBG26930.1	transcript_QX1410.22720.1
OG0000003	g16248.t1, g16279.t1, g16280.t1, g16282.t1, g16399.t1, g16401.t1, g16402.t1, g16416.t1, g16417.t1, g16473.t1, g16474.t1, g16485.t1, g16672.t1, g16674.t1, g16688.t1, g16690.t1, g16691.t1, g16692.t1, g16729.t1, g16731.t1, g16733.t1, g16736.t1, g16737.t1, g16755.t1, g16763.t1, g16778.t1, g2475.t1, g3428.t1, g9172.t1	Transcript_R08A2.4.1	Transcript_CBG04701.1, Transcript_CBG04702.1, Transcript_CBG04840.1, Transcript_CBG04842.1, Transcript_CBG04843.1, Transcript_CBG04868.1, Transcript_CBG04869.1, Transcript_CBG04871.1, Transcript_CBG04872.1, Transcript_CBG04939.1, Transcript_CBG04940.1, Transcript_CBG04959.1, Transcript_CBG13419.1, Transcript_CBG18613.1, Transcript_CBG18615.1, Transcript_CBG18616.1, Transcript_CBG20341.1, Transcript_CBG22882.1, Transcript_CBG22884.1, Transcript_CBG22887.1, Transcript_CBG22910.1, Transcript_CBG22913.1, Transcript_CBG22915.1, Transcript_CBG24404.1, Transcript_CBG24406.1, Transcript_CBG24662.1, Transcript_CBG24664.1, Transcript_CBG25484.1, Transcript_CBG30003.1, Transcript_CBG30311.1, Transcript_CBG30502.1, Transcript_CBG30563.1, Transcript_CBG30588c.1	transcript_QX1410.10022.1, transcript_QX1410.26003.1, transcript_QX1410.26005.1, transcript_QX1410.26132.1, transcript_QX1410.26164.2, transcript_QX1410.26242.1, transcript_QX1410.26243.2, transcript_QX1410.26259.1, transcript_QX1410.26336.1, transcript_QX1410.26501.2, transcript_QX1410.26504.1, transcript_QX1410.26549.1, transcript_QX1410.26550.1, transcript_QX1410.26568.1, transcript_QX1410.26574.1, transcript_QX1410.26577.2, transcript_QX1410.26693.1, transcript_QX1410.26694.1, transcript_QX1410.26696.1, transcript_QX1410.26698.1, transcript_QX1410.29675.1, transcript_QX1410.30684.1, transcript_QX1410.30686.2, transcript_QX1410.3339.1, transcript_QX1410.3340.1, transcript_QX1410.3556.1, transcript_QX1410.3731.1, transcript_QX1410.3747.1, transcript_QX1410.3749.1, transcript_QX1410.3750.1, transcript_QX1410.3784.1, transcript_QX1410.3786.1, transcript_QX1410.3787.1, transcript_QX1410.3831.1
OG0000004		Transcript_B0391.11a.1, Transcript_B0391.11b.1, Transcript_B0391.5.1, Transcript_B0391.6.1, Transcript_B0391.9.1, Transcript_C02H6.2.1, Transcript_C08E3.10a.1, Transcript_C08E3.10b.1, Transcript_C08E3.12.1, Transcript_C08E3.6.1, Transcript_C08E3.7.1, Transcript_C08E3.8.1, Transcript_C08E3.9.1, Transcript_C08F11.5a.1, Transcript_C08F11.5b.1, Transcript_C17C3.5.1, Transcript_C25D7.4a.1, Transcript_C33E10.2.1, Transcript_C36C9.3.1, Transcript_C38D9.1.1, Transcript_C38D9.6.1, Transcript_C38D9.7.1, Transcript_C38D9.9.1, Transcript_C47B2.1.1, Transcript_F08A8.7.1, Transcript_F09C3.4.1, Transcript_F14D2.13a.1, Transcript_F14D2.13b.1, Transcript_F14H3.7.1, Transcript_F28F8.4.1, Transcript_F28F8.8a.1, Transcript_F28F8.8b.1, Transcript_F31E9.3.1, Transcript_F35E12.3.1, Transcript_F36G9.14.1, Transcript_F44G3.12.1, Transcript_F44G3.14.1, Transcript_F44G3.8b.1, Transcript_F45C12.8.1, Transcript_F47H4.4.1, Transcript_F47H4.8.1, Transcript_F47H4.9.1, Transcript_F56C3.2.1, Transcript_F57G4.8.1, Transcript_F59A1.7.1, Transcript_F59A1.7.2, Transcript_H03G16.4.1, Transcript_K03D7.7.1, Transcript_M162.11.1, Transcript_M162.8.1, Transcript_T06C12.4.1, Transcript_T06E6.13.1, Transcript_T09F5.11.1, Transcript_Y102A5C.13.1, Transcript_Y102A5C.14.1, Transcript_Y102A5C.19.1, Transcript_Y102A5C.9.1, Transcript_Y113G7B.1a.1, Transcript_Y113G7B.1b.1, Transcript_Y113G7B.3.1, Transcript_Y113G7B.4.1, Transcript_Y113G7B.5a.1, Transcript_Y113G7B.5b.1, Transcript_Y113G7B.6.1, Transcript_Y113G7B.7.1, Transcript_Y37H2A.12c.1, Transcript_Y37H2A.18.1, Transcript_Y37H2A.4.1, Transcript_Y37H2A.5a.1, Transcript_Y37H2A.5b.1, Transcript_Y37H2A.6.1, Transcript_Y37H2A.7.1, Transcript_Y37H2C.3.1, Transcript_Y38A10A.4.1, Transcript_Y45F10C.3.1, Transcript_Y47H9C.10.1, Transcript_Y57G11C.499.1, Transcript_Y59A8B.11a.1, Transcript_Y59A8B.11a.2, Transcript_Y59A8B.11a.3, Transcript_Y59A8B.11a.4, Transcript_Y59A8B.11b.1, Transcript_Y59A8B.11c.1, Transcript_Y61B8A.4.1, Transcript_Y67A10A.4.1, Transcript_Y67A10A.4.2, Transcript_Y67A10A.4.3, Transcript_Y73B3A.15.1, Transcript_Y73B3A.22.1, Transcript_Y75B8A.21.1, Transcript_Y9C9A.12.1, Transcript_Y9C9A.8.1, Transcript_ZK1290.9.1		
OG0000005	g1400.t1, g20937.t1, g20939.t1, g20940.t1, g20941.t1, g20942.t1, g20943.t1, g20944.t1, g3754.t1, g8682.t1, g8705.t2, g8711.t1, g8712.t1, g8713.t1, g8714.t1, g8715.t1, g8716.t2, g8719.t1, g8757.t1, g8758.t1, g8759.t1, g8771.t1, g8772.t1, g8773.t1, g8774.t1, g8781.t1, g8782.t1, g8783.t1, g8784.t1, g8785.t1	Transcript_C41H7.8.1, Transcript_F15E6.5.1	Transcript_CBG03549.1, Transcript_CBG03581a.1, Transcript_CBG03582.1, Transcript_CBG03584.1, Transcript_CBG03586.1, Transcript_CBG03590.1, Transcript_CBG03591.1, Transcript_CBG03637.1, Transcript_CBG10180.1, Transcript_CBG10181.2, Transcript_CBG10183.1, Transcript_CBG11950.1, Transcript_CBG20199.1, Transcript_CBG20200.1, Transcript_CBG20201.1, Transcript_CBG20210.1, Transcript_CBG20211b.1, Transcript_CBG20212.1, Transcript_CBG26123.1, Transcript_CBG26125.1, Transcript_CBG26132.1, Transcript_CBG26133.1, Transcript_CBG30132.1, Transcript_CBG30238.1, Transcript_CBG30239.1, Transcript_CBG30314.1, Transcript_CBG30770.1, Transcript_CBG30773.1, Transcript_CBG30774.1	transcript_QX1410.28558.1, transcript_QX1410.31008.1, transcript_QX1410.36197.1, transcript_QX1410.36198.1, transcript_QX1410.36199.1, transcript_QX1410.36200.1, transcript_QX1410.36201.1, transcript_QX1410.36202.1, transcript_QX1410.36203.1, transcript_QX1410.36204.2, transcript_QX1410.36205.1, transcript_QX1410.36208.1, transcript_QX1410.36244.1, transcript_QX1410.36245.1, transcript_QX1410.36246.1, transcript_QX1410.36260.1, transcript_QX1410.36261.1, transcript_QX1410.36262.1, transcript_QX1410.36270.1, transcript_QX1410.36271.1, transcript_QX1410.36272.2, transcript_QX1410.40777.1, transcript_QX1410.40779.1, transcript_QX1410.40780.1, transcript_QX1410.40781.1, transcript_QX1410.40782.1, transcript_QX1410.40783.1, transcript_QX1410.40784.1, transcript_QX1410.9572.1, transcript_QX1410.9595.1
OG0000006	g5551.t1, g5559.t1, g5568.t1, g5569.t1, g5848.t1, g5898.t1, g5899.t1, g5910.t1, g5927.t1, g5930.t1, g5932.t1, g5933.t1, g5940.t1, g5964.t1, g5983.t1, g5984.t1, g5996.t1, g6019.t1, g6039.t1, g6079.t1	Transcript_B0047.1.1, Transcript_B0047.1.2, Transcript_B0047.3.1, Transcript_B0047.4.1, Transcript_C08C3.2a.1, Transcript_C08C3.2b.1, Transcript_F29C12.5.1, Transcript_F40B1.1.1, Transcript_F52C6.10.1, Transcript_F52C6.11.1, Transcript_F52C6.6.1, Transcript_F52C6.8.1, Transcript_F59H6.1.1, Transcript_F59H6.10.1, Transcript_F59H6.11.1, Transcript_F59H6.8.1, Transcript_F59H6.9.1, Transcript_R52.1.1, Transcript_Y49F6C.2.1, Transcript_Y49F6C.3.1, Transcript_Y49F6C.4.1, Transcript_Y49F6C.5.1	Transcript_CBG10279.1, Transcript_CBG10283.1, Transcript_CBG10347.1, Transcript_CBG17057.1, Transcript_CBG19508a.1, Transcript_CBG19510.1, Transcript_CBG19511.1, Transcript_CBG19518.1, Transcript_CBG19527.1, Transcript_CBG20453.1, Transcript_CBG20948.1, Transcript_CBG20950.1, Transcript_CBG21869.1, Transcript_CBG23658.1, Transcript_CBG23830.1, Transcript_CBG24133.1, Transcript_CBG24226.1, Transcript_CBG24449a.1, Transcript_CBG24810.1, Transcript_CBG30012.1, Transcript_CBG30915.1	transcript_QX1410.12563.1, transcript_QX1410.12570.2, transcript_QX1410.12840.1, transcript_QX1410.12894.3, transcript_QX1410.12913.1, transcript_QX1410.12979.1, transcript_QX1410.12998.1, transcript_QX1410.13005.1, transcript_QX1410.30991.1, transcript_QX1410.32867.1, transcript_QX1410.32885.2, transcript_QX1410.33108.2, transcript_QX1410.33109.1, transcript_QX1410.33110.1, transcript_QX1410.33143.1, transcript_QX1410.33254.1, transcript_QX1410.33280.1, transcript_QX1410.33281.1, transcript_QX1410.33295.1, transcript_QX1410.33307.1, transcript_QX1410.33337.1, transcript_QX1410.33344.1, transcript_QX1410.33347.1, transcript_QX1410.33386.1
OG0000007	g10068.t1, g10255.t1, g1180.t1, g11882.t2, g11996.t1, g13058.t1, g13435.t1, g14021.t1, g14147.t1, g14256.t1, g14639.t1, g15426.t1, g16519.t1, g16757.t1, g16825.t1, g16836.t1, g16886.t1, g18885.t1, g20963.t1, g223.t1, g2682.t1, g5919.t1, g6327.t1, g6676.t1, g8895.t1, g8979.t1, g9970.t1	Transcript_W04G3.6a.1, Transcript_W04G3.6b.1, Transcript_W04G3.6c.1	Transcript_CBG04860.1	transcript_QX1410.22746.1, transcript_QX1410.23091.1, transcript_QX1410.23150.1, transcript_QX1410.23681.1, transcript_QX1410.23746.1, transcript_QX1410.23867.1, transcript_QX1410.23977.1, transcript_QX1410.24368.1, transcript_QX1410.25163.1, transcript_QX1410.25219.1, transcript_QX1410.26076.1, transcript_QX1410.26379.1, transcript_QX1410.26518.1, transcript_QX1410.26639.1, transcript_QX1410.26640.1, transcript_QX1410.26649.1, transcript_QX1410.26711.1, transcript_QX1410.27350.1, transcript_QX1410.28326.1, transcript_QX1410.29543.1, transcript_QX1410.29867.1, transcript_QX1410.29877.1, transcript_QX1410.30406.1, transcript_QX1410.30512.1, transcript_QX1410.33107.1, transcript_QX1410.33271.1, transcript_QX1410.33719.1, transcript_QX1410.36387.1, transcript_QX1410.36477.1, transcript_QX1410.38617.1, transcript_QX1410.40555.1, transcript_QX1410.40809.1, transcript_QX1410.42009.1, transcript_QX1410.42108.1, transcript_QX1410.42362.1, transcript_QX1410.43279.1, transcript_QX1410.43713.1, transcript_QX1410.732.2
OG0000008	g10134.t1, g10136.t1, g12215.t1, g14031.t2, g14033.t1, g14034.t1, g14036.t2, g16460.t1, g16462.t2, g18403.t1, g18404.t1, g19935.t1, g6191.t1, g7679.t1, g7680.t2, g8988.t1, g9725.t1, g9726.t2		Transcript_CBG00277.1, Transcript_CBG04920.1, Transcript_CBG04921.1, Transcript_CBG06277.1, Transcript_CBG07120.1, Transcript_CBG07214.1, Transcript_CBG13930.1, Transcript_CBG14414.1, Transcript_CBG17939.1, Transcript_CBG18016.1, Transcript_CBG18017.1, Transcript_CBG18725.1, Transcript_CBG18726.1, Transcript_CBG21616.1, Transcript_CBG21669.1, Transcript_CBG24007.1, Transcript_CBG29766.1	transcript_QX1410.19552.1, transcript_QX1410.23521.1, transcript_QX1410.23561.1, transcript_QX1410.23562.1, transcript_QX1410.23758.1, transcript_QX1410.23760.1, transcript_QX1410.23761.1, transcript_QX1410.23762.1, transcript_QX1410.23764.1, transcript_QX1410.29761.1, transcript_QX1410.29762.1, transcript_QX1410.30494.1, transcript_QX1410.35145.1, transcript_QX1410.35146.1, transcript_QX1410.36485.1, transcript_QX1410.36486.1, transcript_QX1410.36487.1, transcript_QX1410.36488.1, transcript_QX1410.36489.1, transcript_QX1410.38078.1, transcript_QX1410.38079.1, transcript_QX1410.38080.1, transcript_QX1410.38081.1, transcript_QX1410.38653.1, transcript_QX1410.39689.1, transcript_QX1410.40530.1, transcript_QX1410.41440.1, transcript_QX1410.41897.1, transcript_QX1410.4697.2
